Date,Series_title_1,Data_value
2024-05-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",15.41
2024-06-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",15.39
2024-07-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",15.43
2024-08-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",15.12
2024-09-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",15.46
2024-03-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",9.33
2024-04-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",9.35
2024-05-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",8.98
2024-06-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",8.97
2024-07-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",8.93
2024-08-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",9.1
2024-09-01,"Chicken pieces (excluding breast), boneless or bone in, 1kg",8.75
2024-03-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",9.4
2024-04-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",9.52
2024-05-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",10.09
2024-06-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",10.06
2024-07-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",9.96
2024-08-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",9.78
2024-09-01,"Chicken, whole, frozen, No. 15 - Cheapest Available",10.07
2024-03-01,"Chicken nuggets, frozen, 1kg",14.2
2024-04-01,"Chicken nuggets, frozen, 1kg",14.07
2024-05-01,"Chicken nuggets, frozen, 1kg",14.54
2024-06-01,"Chicken nuggets, frozen, 1kg",13.61
2024-07-01,"Chicken nuggets, frozen, 1kg",13.39
2024-08-01,"Chicken nuggets, frozen, 1kg",13.97
2024-09-01,"Chicken nuggets, frozen, 1kg",13.58
2024-03-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",5.87
2024-04-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",5.84
2024-05-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",5.84
2024-06-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",5.79
2024-07-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",5.84
2024-08-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",5.9
2024-09-01,"Chilled fruit juice or smoothies, 1 to 1.5 litre",6.0
2024-03-01,"Chocolate, boxed, loose, 250g",9.1
2024-04-01,"Chocolate, boxed, loose, 250g",10.09
2024-05-01,"Chocolate, boxed, loose, 250g",9.49
2024-06-01,"Chocolate, boxed, loose, 250g",11.03
2024-07-01,"Chocolate, boxed, loose, 250g",11.13
2024-08-01,"Chocolate, boxed, loose, 250g",10.15
2024-09-01,"Chocolate, boxed, loose, 250g",10.96
2024-03-01,"Chocolate blocks, convenience stores, 100g to 250g",5.32
2024-04-01,"Chocolate blocks, convenience stores, 100g to 250g",5.32
2024-05-01,"Chocolate blocks, convenience stores, 100g to 250g",5.6
2024-06-01,"Chocolate blocks, convenience stores, 100g to 250g",5.76
2024-07-01,"Chocolate blocks, convenience stores, 100g to 250g",5.9
2024-08-01,"Chocolate blocks, convenience stores, 100g to 250g",5.64
2024-09-01,"Chocolate blocks, convenience stores, 100g to 250g",5.82
2024-03-01,"Chocolate novelty bars, 50g",1.71
2024-04-01,"Chocolate novelty bars, 50g",1.82
2024-05-01,"Chocolate novelty bars, 50g",1.77
2024-06-01,"Chocolate novelty bars, 50g",1.88
2024-07-01,"Chocolate novelty bars, 50g",1.84
2024-08-01,"Chocolate novelty bars, 50g",1.93
2024-09-01,"Chocolate novelty bars, 50g",1.8
2024-03-01,"Corn flakes, 500g",4.82
2024-04-01,"Corn flakes, 500g",4.84
2024-05-01,"Corn flakes, 500g",4.71
2024-06-01,"Corn flakes, 500g",4.65
2024-07-01,"Corn flakes, 500g",4.73
2024-08-01,"Corn flakes, 500g",4.74
2024-09-01,"Corn flakes, 500g",4.93
2024-03-01,"Corned beef, fresh, chilled or frozen, 1kg",16.39
2024-04-01,"Corned beef, fresh, chilled or frozen, 1kg",16.24
2024-05-01,"Corned beef, fresh, chilled or frozen, 1kg",15.09
2024-06-01,"Corned beef, fresh, chilled or frozen, 1kg",16.16
2024-07-01,"Corned beef, fresh, chilled or frozen, 1kg",15.93
2024-08-01,"Corned beef, fresh, chilled or frozen, 1kg",17.01
2024-09-01,"Corned beef, fresh, chilled or frozen, 1kg",17.41
2024-03-01,"Courgettes, 1kg",5.66
2024-04-01,"Courgettes, 1kg",6.63
2024-05-01,"Courgettes, 1kg",11.01
2024-06-01,"Courgettes, 1kg",12.34
2024-07-01,"Courgettes, 1kg",12.9
2024-08-01,"Courgettes, 1kg",12.74
2024-09-01,"Courgettes, 1kg",13.36
2024-03-01,"Biscuits, savoury, crackers 250g",4.03
2024-04-01,"Biscuits, savoury, crackers 250g",4.1
2024-05-01,"Biscuits, savoury, crackers 250g",4.16
2024-06-01,"Biscuits, savoury, crackers 250g",4.1
2024-07-01,"Biscuits, savoury, crackers 250g",4.1
2024-08-01,"Biscuits, savoury, crackers 250g",4.01
2024-09-01,"Biscuits, savoury, crackers 250g",4.25
2024-03-01,"Cream, 300ml - Cheapest Available",2.82
2024-04-01,"Cream, 300ml - Cheapest Available",2.84
2024-05-01,"Cream, 300ml - Cheapest Available",2.85
2024-06-01,"Cream, 300ml - Cheapest Available",2.85
2024-07-01,"Cream, 300ml - Cheapest Available",2.88
2024-08-01,"Cream, 300ml - Cheapest Available",2.87
2024-09-01,"Cream, 300ml - Cheapest Available",2.9
2024-03-01,"Cucumber, 1kg",8.72
2024-04-01,"Cucumber, 1kg",12.56
2024-05-01,"Cucumber, 1kg",12.63
2024-06-01,"Cucumber, 1kg",13.98
2024-07-01,"Cucumber, 1kg",18.07
2024-08-01,"Cucumber, 1kg",18.73
2024-09-01,"Cucumber, 1kg",15.63
